analysis_role,region_vantage,case_id,model_id,family_id,tier_id,position_id,repeat,failure_stage,http_status,finish_reason,grader_errors,stream_error_class,error_class,raw_response_sha256
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r3,deepseek-v4-flash,single_record,950k,beginning,3,strict_exact_match,200,stop,wrong_value:checksum,,,ebee9101cdab53108345d8604b6c07214f8e0aabace2195608a75dd0ea73220b
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r1,deepseek-v4-flash,single_record,950k,end,1,strict_exact_match,200,stop,wrong_value:alpha|wrong_value:gamma|wrong_value:quantity|wrong_value:checksum,,,75b3be372f0933420a8b209f0647c6dd74ab8c93d670952aa919f0af557a7d6f
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r2,deepseek-v4-flash,single_record,950k,end,2,strict_exact_match,200,stop,wrong_value:alpha|wrong_value:beta|wrong_value:gamma|wrong_type:quantity|wrong_value:checksum,,,f61440018419a47caed430fd8c6af623b3067b4894e2f1059c627c36979fae0e
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r3,deepseek-v4-flash,single_record,950k,end,3,strict_exact_match,200,stop,wrong_value:alpha|wrong_value:beta|wrong_value:quantity|wrong_value:checksum,,,5b660d61424fd386581f84d99b6212455e137be1770d70f33124b6b2850b8f8b
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r1,deepseek-v4-flash,single_record,950k,middle,1,strict_exact_match,200,stop,wrong_value:alpha|wrong_value:beta|wrong_value:gamma|wrong_value:quantity|wrong_value:checksum,,,342a40c088adb531ea402f2a7d537f3e53450483a6233581ea937fbfd1bb9e80
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r2,deepseek-v4-flash,single_record,950k,middle,2,strict_exact_match,200,stop,wrong_value:checksum,,,22dfc9b478fe3c841606136b8cf9a7050ecfe66739b4641bf71842a7bf5685f8
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:end:r2,deepseek-v4-pro,single_record,950k,end,2,strict_exact_match,200,stop,wrong_type:quantity,,,171d8d159e8063534d1c5d9227e87352aae98651d8a7ff2176d84aedb47fa2b7
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r1,deepseek-v4-pro,single_record,950k,middle,1,strict_exact_match,200,stop,wrong_value:alpha|wrong_value:beta|wrong_type:quantity|wrong_value:checksum,,,9a20ae321ec6bb58e5a1a6873ab92e3376e5f721eb6fd5208137f2b6028c5073
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r2,deepseek-v4-pro,single_record,950k,middle,2,strict_exact_match,200,stop,wrong_type:quantity,,,086a503ff1a5c220a4e4b81d28f47601b2d632e7206a8c56fb8abba874de1f39
india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r3,deepseek-v4-pro,single_record,950k,middle,3,strict_exact_match,200,stop,wrong_value:checksum,,,9f5c42f935b408ecc692286a8aca372a2f2933e11d029b3cd52ce23fd73ba775
