presentation_sequence,analysis_role,region_vantage,case_id,model_id,family_id,tier_id,position_id,repeat,included_in_primary_accuracy,automatic_retry_allowed
1,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r1,deepseek-v4-flash,single_record,32k,beginning,1,false,false
2,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r2,deepseek-v4-flash,single_record,32k,beginning,2,false,false
3,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r3,deepseek-v4-flash,single_record,32k,beginning,3,false,false
4,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r1,deepseek-v4-flash,single_record,32k,end,1,false,false
5,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r2,deepseek-v4-flash,single_record,32k,end,2,false,false
6,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r3,deepseek-v4-flash,single_record,32k,end,3,false,false
7,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r1,deepseek-v4-flash,single_record,32k,middle,1,false,false
8,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r2,deepseek-v4-flash,single_record,32k,middle,2,false,false
9,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r3,deepseek-v4-flash,single_record,32k,middle,3,false,false
10,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r1,deepseek-v4-flash,single_record,950k,beginning,1,false,false
11,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r2,deepseek-v4-flash,single_record,950k,beginning,2,false,false
12,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r3,deepseek-v4-flash,single_record,950k,beginning,3,false,false
13,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r1,deepseek-v4-flash,single_record,950k,end,1,false,false
